Details,Accession,Release_Date,Species,Genus,Family,Length,Nuc._Completeness,Genotype,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
,MH310911,2018-08-31T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30096,complete,,Saudi Arabia,Homo sapiens,"lung, oronasopharynx",2017-06-06,,"Middle East respiratory syndrome-related coronavirus strain Hu/Riyadh-KSA-10717/2017, complete genome"
,NC_004718,2003-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29751,"refseq, complete",,Canada,,blood,,,"SARS coronavirus, complete genome"
,NC_009021,2007-02-21T00:00:00Z,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,29114,"refseq, complete",,China,Chiroptera,,,,"Bat coronavirus HKU9-1, complete genome"
,NC_009019,2007-02-21T00:00:00Z,Tylonycteris bat coronavirus HKU4,Betacoronavirus,Coronaviridae,30286,"refseq, complete",,China,Chiroptera,,,,"Bat coronavirus HKU4-1, complete genome"
,MG977447,2018-07-02T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30705,complete,,Cote d'Ivoire,Pan troglodytes verus,,2016-12-26,,"Human coronavirus OC43 isolate TNP F1832_2, complete genome"
,MF374985,2017-10-28T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30705,complete,,USA,Homo sapiens,oronasopharynx,2017-01-17,,"Human coronavirus OC43 isolate HCoV-OC43/USA/TCNP_00212/2017, complete genome"
,MF314143,2018-03-31T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30737,complete,,USA,Homo sapiens,oronasopharynx,2016-03-07,,"Human coronavirus OC43 isolate HCoV-OC43/USA/ACRI_0052/2016, complete genome"
,MF374983,2017-10-28T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30721,complete,,USA,Homo sapiens,oronasopharynx,2016-02-01,,"Human coronavirus OC43 isolate HCoV-OC43/USA/TCNP_0070/2016, complete genome"
,MG923466,2018-03-20T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30047,complete,,Ethiopia,Camelus dromedarius,,2017-03-15,,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Ethiopia/AAU-EPHI-HKU4412/2017, complete genome"
,MG923468,2018-03-20T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30091,complete,,Ethiopia,Camelus dromedarius,,2017-03-15,,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Ethiopia/AAU-EPHI-HKU4458/2017, complete genome"
,MG923470,2018-03-20T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29423,complete,,Burkina Faso,Camelus dromedarius,,2015-02-23,,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Burkina Faso/CIRAD-HKU434/2015, complete genome"
,MG518518,2018-03-21T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,31034,complete,,South Korea,Hydropotes inermis,,2017-02-24,,"Water deer coronavirus isolate W17-18, complete genome"
,MG923469,2018-03-20T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29421,complete,,Morocco,Camelus dromedarius,,2015-03-03,,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Morocco/CIRAD-HKU213/2015, complete genome"
,MG923479,2018-03-20T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29455,complete,,Nigeria,Camelus dromedarius,,2016-02-05,,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Nigeria/NV1712/2016, complete genome"
,MG923467,2018-03-20T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30077,complete,,Ethiopia,Camelus dromedarius,,2017-03-15,,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Ethiopia/AAU-EPHI-HKU4448/2017, complete genome"
,MG923473,2018-03-20T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29374,complete,,Burkina Faso,Camelus dromedarius,,2015-03-16,,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Burkina Faso/CIRAD-HKU697/2015, complete genome"
,MG923476,2018-03-20T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29455,complete,,Nigeria,Camelus dromedarius,,2016-02-15,,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Nigeria/NV1989/2016, complete genome"
,MG923475,2018-03-20T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29462,complete,,Nigeria,Camelus dromedarius,,2016-02-03,,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Nigeria/NV1657/2016, complete genome"
,MG923472,2018-03-20T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29680,complete,,Nigeria,Camelus dromedarius,,2015-01-13,,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Nigeria/NS004/2015, complete genome"
,MG923477,2018-03-20T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29458,complete,,Nigeria,Camelus dromedarius,,2016-02-17,,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Nigeria/NV2040/2016, complete genome"
,MG923478,2018-03-20T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29462,complete,,Nigeria,Camelus dromedarius,,2016-02-03,,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Nigeria/NV1673/2016, complete genome"
,MG021451,2018-04-10T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30113,complete,,China,,,2013-07-17,,"Middle East respiratory syndrome-related coronavirus isolate NL13845, complete genome"
,MH013216,2018-04-10T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30118,complete,,Saudi Arabia,Homo sapiens,,2015-10-15,,"Middle East respiratory syndrome-related coronavirus strain HCoV-EMC, complete genome"
,MF083115,2018-04-10T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30682,complete,,China,Sus scrofa,brain,2014-03,,"Porcine hemagglutinating encephalomyelitis virus strain CC14, complete genome"
,MG977449,2018-07-02T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30721,complete,,Cote d'Ivoire,Pan troglodytes verus,,2016-12-28,,"Human coronavirus OC43 isolate TNP F1834_2, complete genome"
,MG977445,2018-07-02T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30677,complete,,Cote d'Ivoire,Pan troglodytes verus,,2016-12-31,,"Human coronavirus OC43 isolate TNP F1790_2, complete genome"
,MG977452,2018-07-02T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30704,complete,,Cote d'Ivoire,Homo sapiens,,2016-12-10,,"Human coronavirus OC43 isolate TNP 12643, complete genome"
,MH043953,2018-04-17T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,31032,complete,,USA,Bos taurus,feces,2017-04,,"Bovine coronavirus isolate 4-17-25, complete genome"
,MH043955,2018-04-17T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,31032,complete,,USA,Bos taurus,feces,2016-07,,"Bovine coronavirus isolate 7-16-23, complete genome"
,KF923923,2015-08-31T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30713,complete,,China,Homo sapiens,oronasopharynx,2008-10,,"Human coronavirus OC43 isolate 892A/2008, complete genome"
,EF065516,2007-02-07T00:00:00Z,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,29155,complete,,China,Chiroptera,,,,"Bat coronavirus HKU9-4, complete genome"
,KJ713295,2014-05-04T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30113,complete,,Saudi Arabia,Camelus dromedarius,oronasopharynx,2013-11,,"Middle East respiratory syndrome coronavirus isolate KSA-CAMEL-505, complete genome"
,FJ882963,2009-05-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29682,complete,,USA,Homo sapiens,,2004-08-10,,"SARS coronavirus P2, complete genome"
,KJ361502,2015-03-10T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29783,complete,,France,Homo sapiens,oronasopharynx,2013-05-07,,"Middle East respiratory syndrome coronavirus isolate Hu-France - FRA2_130569-2013_InSpu_Sanger, complete genome"
,KJ156869,2014-02-06T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30055,complete,,Saudi Arabia,Homo sapiens,,2013-07-17,,"Middle East respiratory syndrome coronavirus isolate Riyadh_9_2013, complete genome"
,HM211101,2010-08-30T00:00:00Z,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,29122,complete,,China,Chiroptera,,2006-04-10,,"Bat coronavirus HKU9-10-2, complete genome"
,HM211100,2010-08-30T00:00:00Z,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,29136,complete,,China,Chiroptera,,2006-04-10,,"Bat coronavirus HKU9-10-1, complete genome"
,HM211099,2010-08-30T00:00:00Z,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,29112,complete,,China,Chiroptera,,2005-12-11,,"Bat coronavirus HKU9-5-2, complete genome"
,MN996530,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29854,complete,,China,Homo sapiens,lung,2019-12-30,,"Severe acute respiratory syndrome coronavirus 2 isolate WIV06, complete genome"
,MT007544,2020-01-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29893,complete,,Australia,Homo sapiens,,2020-01-25,,"Severe acute respiratory syndrome coronavirus 2 isolate Australia/VIC01/2020, complete genome"
,AY903460,2005-05-26T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30723,complete,,Belgium,,,,,"Human coronavirus OC43 strain 19572 Belgium 2004, complete genome"
,JN874562,2012-03-26T00:00:00Z,Rabbit coronavirus HKU14,Betacoronavirus,Coronaviridae,30904,complete,,China,Oryctolagus cuniculus,,2007,,"Rabbit coronavirus HKU14 strain HKU14-10, complete genome"
,JN874559,2012-03-26T00:00:00Z,Rabbit coronavirus HKU14,Betacoronavirus,Coronaviridae,31100,complete,,China,Oryctolagus cuniculus,,2006,,"Rabbit coronavirus HKU14 strain HKU14-1, complete genome"
,KP887098,2015-03-30T00:00:00Z,Murine coronavirus,Betacoronavirus,Coronaviridae,31409,complete,,USA,,,2014-07-01,,"UNVERIFIED: Murine coronavirus strain AM2, complete genome"
,KX154685,2017-04-30T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30096,complete,,Saudi Arabia,Homo sapiens,"lung, oronasopharynx",2016-02,,"Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-11740/2016, complete genome"
,FJ882942,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29721,complete,,USA,,,2008-11-26,,"SARS coronavirus MA15 ExoN1 isolate P3pp5, complete genome"
,JN854286,2012-05-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29727,complete,,United Kingdom,,,2003-04-16,,"SARS coronavirus HKU-39849 isolate recSARS-CoV HKU-39849, complete genome"
,JN874560,2012-03-26T00:00:00Z,Rabbit coronavirus HKU14,Betacoronavirus,Coronaviridae,31116,complete,,China,Oryctolagus cuniculus,,2007,,"Rabbit coronavirus HKU14 strain HKU14-3, complete genome"
,JF792617,2012-04-30T00:00:00Z,Murine coronavirus,Betacoronavirus,Coronaviridae,31274,complete,,,Rattus,,,,"Rat coronavirus isolate 8190, complete genome"
,JN129835,2011-10-17T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30722,complete,D,China,Homo sapiens,,2004-11,,"Human coronavirus OC43 strain HK04-02, complete genome"
,JN129834,2011-10-17T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30710,complete,C,China,Homo sapiens,,2004-11,,"Human coronavirus OC43 strain HK04-01, complete genome"
,EU371561,2009-01-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29602,complete,,,,,,,"SARS coronavirus BJ182b, complete genome"
,EU371562,2009-01-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29602,complete,,,,,,,"SARS coronavirus BJ182-4, complete genome"
,EU371560,2009-01-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29731,complete,,,,,,,"SARS coronavirus BJ182a, complete genome"
,EF065511,2007-02-07T00:00:00Z,Pipistrellus bat coronavirus HKU5,Betacoronavirus,Coronaviridae,30488,complete,,China,Chiroptera,,,,"Bat coronavirus HKU5-3, complete genome"
,EF065515,2007-02-07T00:00:00Z,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,29136,complete,,China,Chiroptera,,,,"Bat coronavirus HKU9-3, complete genome"
,EF065513,2007-02-07T00:00:00Z,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,29114,complete,,China,Chiroptera,,,,"Bat coronavirus HKU9-1, complete genome"
,JQ173883,2012-03-24T00:00:00Z,Murine coronavirus,Betacoronavirus,Coronaviridae,31161,complete,,,,,,,"Murine hepatitis virus strain S/3239-17, complete genome"
,FJ938067,2009-07-11T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30953,complete,,,Homo sapiens,,2009-04-17,,"Human enteric coronavirus strain 4408, complete genome"
,FJ938063,2009-07-11T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,31024,complete,,USA,Bos taurus,,1996-11-30,,"Bovine coronavirus E-DB2-TC, complete genome"
,FJ938066,2009-07-11T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30953,complete,,USA,Bos taurus,,1996-01-01,,"Bovine respiratory coronavirus bovine/US/OH-440-TC/1996, complete genome"
,GQ153539,2010-04-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29704,complete,,,,,,,"Bat SARS coronavirus HKU3-4, complete genome"
,FJ882945,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29720,complete,,USA,,,2008-11-25,,"SARS coronavirus MA15 isolate P3pp6, complete genome"
,FJ882951,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29721,complete,,USA,,,2008-11-26,,"SARS coronavirus MA15 ExoN1 isolate P3pp3, complete genome"
,FJ882943,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29720,complete,,USA,,,2008-11-21,,"SARS coronavirus MA15 ExoN1, complete genome"
,AY278487,2003-04-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29745,complete,,,,,,,"SARS coronavirus BJ02, complete genome"
,EU371559,2009-01-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29731,complete,,,,,,,"SARS coronavirus ZJ02, complete genome"
,DQ497008,2006-05-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29727,complete,,,Mus musculus,,,,"SARS coronavirus strain MA-15, complete genome"
,EF446615,2007-11-15T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30992,complete,,,,,,,"Equine coronavirus strain NC99, complete genome"
,AY278490,2003-04-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29740,complete,,,,,,,"SARS coronavirus BJ03, complete genome"
,GQ153540,2010-04-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29704,complete,,,,,,,"Bat SARS coronavirus HKU3-5, complete genome"
,AY508724,2004-01-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29732,complete,,,,,,,"SARS coronavirus NS-1, complete genome"
,AY350750,2003-11-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29738,complete,,,,,,,"SARS coronavirus PUMC01, complete genome"
,AY394994,2004-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29765,complete,,,,,,,"SARS coronavirus HSZ-Bc, complete genome"
,AY362698,2003-08-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29727,complete,,,,,,,"SARS coronavirus TWC2, complete genome"
,FJ415324,2008-11-18T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,31029,complete,,Germany,Homo sapiens,,1988,,"Human enteric coronavirus 4408, complete genome"
,EU371564,2009-01-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29512,complete,,,,,,,"SARS coronavirus BJ182-12, complete genome"
,EU371563,2009-01-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29602,complete,,,,,,,"SARS coronavirus BJ182-8, complete genome"
,AY572034,2005-08-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29540,complete,,China,Viverridae,feces,,,"SARS coronavirus civet007, complete genome"
,DQ415909,2006-06-30T00:00:00Z,Human coronavirus HKU1,Betacoronavirus,Coronaviridae,29767,complete,,China,,oronasopharynx,,,"Human coronavirus HKU1 strain N13 genotype A, complete genome"
,DQ415903,2006-06-30T00:00:00Z,Human coronavirus HKU1,Betacoronavirus,Coronaviridae,29920,complete,,China,,oronasopharynx,,,"Human coronavirus HKU1 strain N3 genotype A, complete genome"
,DQ412043,2006-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29749,complete,,,Rhinolophus macrotis,,,,"Bat SARS coronavirus Rm1, complete genome"
,AY313906,2003-12-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29754,complete,,China,,,,,"SARS coronavirus GD69, complete genome"
,AY568539,2005-02-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29730,complete,,China,,oronasopharynx,,,"SARS coronavirus GZ0401, complete genome"
,JX163926,2012-09-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29646,complete,,USA,,,2010-02-10,,"SARS coronavirus isolate Tor2/FP1-10912, complete genome"
,AY559087,2004-03-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29716,complete,,Singapore,,,,,"SARS coronavirus Sin3725V, complete genome"
,AY545917,2005-03-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29739,complete,,China,,,,,"SARS coronavirus isolate HC/GZ/81/03, complete genome"
,AY291451,2003-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29729,complete,,Taiwan,,,,,"SARS coronavirus TW1, complete genome"
,AY502930,2004-01-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29729,complete,,Taiwan,,,,,"SARS coronavirus TW7, complete genome"
,AY772062,2005-03-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29461,complete,,,,,,,"SARS coronavirus WH20, complete genome"
,KM349743,2015-01-04T00:00:00Z,China Rattus coronavirus HKU24,Betacoronavirus,Coronaviridae,31249,complete,,China,Rattus norvegicus,,2012-05-17,,"Betacoronavirus HKU24 strain HKU24-R05009I, complete genome"
,EF065508,2007-02-07T00:00:00Z,Tylonycteris bat coronavirus HKU4,Betacoronavirus,Coronaviridae,30316,complete,,China,Chiroptera,,,,"Bat coronavirus HKU4-4, complete genome"
,EF065505,2007-02-07T00:00:00Z,Tylonycteris bat coronavirus HKU4,Betacoronavirus,Coronaviridae,30286,complete,,China,Chiroptera,,,,"Bat coronavirus HKU4-1, complete genome"
,EF065512,2007-02-07T00:00:00Z,Pipistrellus bat coronavirus HKU5,Betacoronavirus,Coronaviridae,30487,complete,,China,Chiroptera,,,,"Bat coronavirus HKU5-5, complete genome"
,EF065514,2007-02-07T00:00:00Z,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,29107,complete,,China,Chiroptera,,,,"Bat coronavirus HKU9-2, complete genome"
,DQ182595,2005-09-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29706,complete,,China,,,2003-04-21,,"SARS coronavirus ZJ0301 from China, complete genome"
,AY613949,2005-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29730,complete,,China,Paradoxurus hermaphroditus,,,,"SARS coronavirus PC4-136, complete genome"
,AY864806,2006-06-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29751,complete,,,,,,,"SARS coronavirus BJ202, complete genome"
,MT072688,2020-02-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29811,complete,,Nepal,Homo sapiens,oronasopharynx,2020-01-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS0CoV-2/61-TW/human/2020/ NPL, complete genome"
,DQ811784,2006-08-01T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,31007,complete,,,Bos taurus,,1983,,"Bovine coronavirus DB2, complete genome"
,GQ153542,2010-04-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29716,complete,,,,,,,"Bat SARS coronavirus HKU3-7, complete genome"
,GQ153545,2010-04-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29695,complete,,,,,,,"Bat SARS coronavirus HKU3-10, complete genome"
,GQ153547,2010-04-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29704,complete,,,,,,,"Bat SARS coronavirus HKU3-12, complete genome"
,GQ153546,2010-04-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29695,complete,,,,,,,"Bat SARS coronavirus HKU3-11, complete genome"
,FJ588686,2009-12-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29059,complete,,China,Rhinolophus sinicus,,2006,,"Bat SARS CoV Rs672/2006, complete genome"
,GQ153543,2010-04-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29681,complete,,,,,,,"Bat SARS coronavirus HKU3-8, complete genome"
,FJ882962,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29721,complete,,USA,,,2008-12-18,,"SARS coronavirus MA15 ExoN1 isolate P3pp10, complete genome"
,FJ882953,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29648,complete,,USA,,,2008-11-26,,"SARS coronavirus MA15 ExoN1 isolate P3pp4, complete genome"
,GQ153548,2010-04-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29677,complete,,,,,,,"Bat SARS coronavirus HKU3-13, complete genome"
,FJ882958,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29720,complete,,USA,,,2008-11-25,,"SARS coronavirus MA15 isolate P3pp7, complete genome"
,FJ882961,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29720,complete,,USA,,,2008-11-25,,"SARS coronavirus MA15 isolate P3pp5, complete genome"
,FJ882959,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29721,complete,,USA,,,2008-11-26,,"SARS coronavirus MA15 ExoN1 isolate P3pp6, complete genome"
,GU593319,2010-06-16T00:00:00Z,Murine coronavirus,Betacoronavirus,Coronaviridae,31147,complete,,USA,Mus musculus,,,,"Murine hepatitis virus strain S, complete genome"
,FJ882929,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29665,complete,,USA,,,2008-03-28,,"SARS coronavirus ExoN1 isolate P3pp1, complete genome"
,FJ882930,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29687,complete,,USA,,,2007-09-22,,"SARS coronavirus ExoN1, complete genome"
,FJ882935,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29647,complete,,USA,,,2008-03-28,,"SARS coronavirus wtic-MB isolate P3pp21, complete genome"
,FJ882936,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29646,complete,,USA,,,2008-03-28,,"SARS coronavirus wtic-MB isolate P3pp2, complete genome"
,FJ882941,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29665,complete,,USA,,,2008-03-28,,"SARS coronavirus ExoN1 isolate P3pp8, complete genome"
,FJ882960,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29646,complete,,USA,,,2008-08-06,,"SARS coronavirus ExoN1 isolate P3pp34, complete genome"
,FJ882954,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29636,complete,,USA,,,2008-08-06,,"SARS coronavirus ExoN1 isolate P3pp46, complete genome"
,FJ882938,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29687,complete,,USA,,,2007-09-22,,"SARS coronavirus wtic-MB, complete genome"
,FJ882950,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29646,complete,,USA,,,2008-08-06,,"SARS coronavirus ExoN1 isolate P3pp60, complete genome"
,FJ882946,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29647,complete,,USA,,,2008-03-28,,"SARS coronavirus wtic-MB isolate P3pp13, complete genome"
,FJ882937,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29648,complete,,USA,,,2008-03-28,,"SARS coronavirus wtic-MB isolate P3pp18, complete genome"
,FJ882939,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29646,complete,,USA,,,2008-03-28,,"SARS coronavirus wtic-MB isolate P3pp16, complete genome"
,FJ882927,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29687,complete,,USA,,,2007-09-26,,"SARS coronavirus wtic-MB isolate P1pp1, complete genome"
,FJ882931,2009-12-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29646,complete,,USA,,,2008-03-28,,"SARS coronavirus ExoN1 isolate P3pp12, complete genome"
